Construct Name,Subject Name,Question,Correct Answer,Incorrect Answer,Misconception,MisconceptionId
Identifying the Base and Equal Angles in an Isosceles Triangle,Geometry: Properties of Isosceles Triangles,Consider an isosceles triangle where one of the angles at the base is given as \(42^{\circ}\) and the angle at the top (apex) is labelled \( q \). Calculate the size of angle \( q \).,96^{\circ},84^{\circ},Believes there is only one orientation for the isosceles triangle base angles,97
Solving linear equations with variables on both sides and fractions,Linear Equations,What is the correct method to solve the equation: \(\frac{x+3}{4}=x-1\),\( x+3=4(x-1) \),\( 4x+12=x-1 \),Incorrectly clears fractions from equations,98
Calculating Time Based on Speed and Distance,Ratios and Proportional Relationships,"If a car travels at a speed of 60 km/h to cover a distance of 120 km, how much time will it take compared to if it travelled at 80 km/h for the same distance?","At 60 km/h, it would take 2 hours to cover the distance. At 80 km/h, it would take 1.5 hours. Thus, increasing the speed decreases the travel time.","Thinking the faster you travel, the longer it will take, a student might incorrectly assume that increasing the speed to 80 km/h would increase the travel time compared to 60 km/h.",Thinks the faster you travel the longer the time it will take,99
Understanding the sum of angles in polygons,Geometry,"Calculate the angles in a triangle if one angle is 2x, the second angle is x + 30, and the third angle is x - 10.",x=50^{\circ},x=90^{\circ},Believes angles in a triangle sum to 360 degrees,100
Reflect a point across the y-axis,Reflection,"Consider point A(-4, 2) on a Cartesian plane. Reflect this point across the y-axis. What are the new coordinates of point A?","(4, 2)","(2, -4)",Believes that reflection always switches the x and y coordinates,101
Factoring versus Expanding Expressions,Algebra,"A math problem that could illustrate the misunderstanding might be: 
If \(x = 2\), which expression would correctly determine the value of \(5(2x + 3)\)?
A) \(5 \cdot 2x + 3\)
B) \(10x + 15\)
C) \(5 \cdot 2x + 5 \cdot 3\)
D) \(10 + 15\)
What is the correct expression to use for calculating the value when \(x = 2\)?","\(10x + 15\), which is option B. This is because \(5(2x + 3)\) correctly distributed equals \(10x + 15\).","\(5 \cdot 2x + 3\), which is option A. This incorrect answer results from the misunderstanding that the expression cannot be equivalently expressed in its multiplied out form, omitting the proper distribution of the \(5\) across both \(2x\) and \(3\).",Does not think a factorised expression is equivalent to its multiplied out form,102
Complete the square for expressions that end up in the form (x + a)² + b,Completing the Square,\( x^{2}+4x-5 \equiv (x \bigstar )^{2} \triangle \),\(\bigstar =+2 \),\(\bigstar =+8 \),"When completing the square, believes the constant in the bracket is double the coefficient of x",103
Identifying patterns and sequences,Patterns and Sequences,"The sequence of numbers shown is created by a specific rule: \(2, 6, 18, 54, \ldots\)
What is the next number in the sequence?",\( 162 \),\( 72 \),Assumes a sequence is linear,104
Understanding conversion factors in compound units,Unit Conversion,"To fill a swimming pool, 2 buckets of water are needed for every 3 square meters of the pool surface area. The pool has an area of 60 square meters. How many buckets of water are needed to fill the pool?",\( 40 \),\( 90 \),Mixes up sides of a ratio,105
Comparing shapes based on their properties,Geometry,"While learning about different shapes, the teacher asks the class to choose which shape they think is accurately described by having all sides of equal length, but does not require all angles to be equal. Sally suggests an arrowhead shape, while Jimmy suggests a square. Who is correct according to the properties of shapes?",Only Jimmy,Only Sally,Believes an arrowhead has four equal sides,106
Multiply a single term over a bracket where the term on the outside is a number and the inside contains a quadratic expression,Expanding Single Brackets in Quadratic Expressions,"Expand:
\[
5(x^2 + 2x - 3)
\]",\( 5x^2 + 10x - 15 \),\( 5x^2 + 10x - 2 \),"When expanding brackets, multiplies out the first term correctly but adds together the number outside the bracket with the second term inside the bracket.",107
Describe a term-to-term sequence,Other Sequences,"Which of the following term-to-term rule describes this sequence? \( 3, \quad 6, \quad 12, \quad 24, \quad \ldots \)",To get the next term you multiply the previous term by \( 2 \),To get the next term you add \( 3 \) to the previous term,Uses only the first two terms of a sequence to work out a term-to-term rule,108
Understanding divisibility rules,Number Theory,"Rachel is trying to determine if \( 132 \) is divisible by \( 6 \). She looks at the final digit, \( 2 \), and knows \( 2 \) is not divisible by \( 6 \). Therefore, she concludes \( 132 \) is not divisible by \( 6 \). Is Rachel's conclusion correct?","No, Rachel's conclusion is incorrect. \( 132 \) is divisible by \( 6 \).","Yes, since the final digit \( 2 \) is not divisible by \( 6 \), \( 132 \) is not divisible by \( 6 \).",Thinks a factor of the final digit is also a factor of the whole number,109
Identify the midpoint of a line segment from given coordinates,Midpoint Formula in Coordinate Geometry,"What is the midpoint of the line segment joining the points \((-8, 3)\) and \((4, 5)\)?","\((-2, 4)\)","\((-4, 4)\)",Does not know how to find the length of a line segment from coordinates,110
Understanding the complement rule in probability,Complement Rule in Probability,"A bag contains \( 6 \) blue marbles, \( 4 \) green marbles, and \( 2 \) red marbles. Sarah picks two marbles at the same time without looking.

What is the probability that Sarah picks at least one red marble?",\( \frac{22}{33} \),\( \frac{4}{33} \),Does not work out all possibilites when given an 'at least' question in probability,111
Understanding simplification of fractions,Fraction Simplification,What is the simplified form of the fraction \( \frac{49}{50} \)?,It cannot be simplified further.,"Approximately \(1\), because the numerator and denominator are close in value.",Thinks the difference between the numerator and denominator determines how close the fraction is to 1,112
Apply the difference of two squares in solving equations,Solving Equations using Difference of Two Squares,Solve the following equation for \( x \): \( x^2 = 49 \),"\( x = 7, x = -7 \)",\( x = 7 \),Does not recognise difference of two squares,113
Identify parallel lines in geometric shapes,Geometry,Are the diagonals of a rectangle parallel to each other?,"No, the diagonals of a rectangle are not parallel to each other; they intersect at the midpoint.","Yes, they are parallel.",Does not know the meaning of the word parallel,114
Convert the fraction \(\frac{3}{4}\) to a decimal.,Fraction to Decimal Conversion,Convert \(\frac{3}{4}\) to a decimal.,\(0.75\),\(0.3\),Believes fraction to decimal conversion is done by writing the numerator as a decimal,115
Identifying outliers in a set of data points,Statistics,"Given the data set: 2.5, 3.0, 2.95, 2.85, 3.15, 10.0. Is 10.0 an outlier, and why?","Yes, 10.0 is an outlier because it is significantly distant from the rest of the data points, not because of the number of decimal places.","Yes, because it has no decimal places unlike the other numbers in the set.",Believes an outlier is determined by the number of decimal places a number has,116
State the coordinates of the turning point for quadratic graphs in the form (x + p)² + q,Completing the Square,What are the co-ordinates of the turning point of the graph of \( y=(x-3)^{2}-2 \) ?,"(-3,-2)","(-3,2)","Believes that in completed square form, they need to change the signs of both values to get the turning point",117
Calculating the Coordinates of the End Point given One End Point and the Midpoint,Coordinate Geometry,"Given one endpoint of a line segment is at (3, -5) and its midpoint is at (-1, 2), find the coordinates of the other endpoint.","The other endpoint is \((-5, 9)\)","The other endpoint is \((-3, -5)\)","Given a line segment with a midpoint that is not the origin, assumes that the two end points will still have the same absolute value",118
"Given the speed, calculate missing values from a displacement-time graph",Real Life Graphs,"This displacement-time graph shows the first 10 seconds of Mo's journey.

During that time he travelled at a speed of 6 \mathrm{~m} / \mathrm{s.}

What distance should replace the star?",60 \mathrm{~m},16 \mathrm{~m},Believes distance = speed + time,119
Compare fractions with different denominators,Comparing and Ordering Fractions,"Which is greater, \( \frac{3}{4} \) or \( \frac{5}{8} \)?",\( \frac{3}{4} \) is greater than \( \frac{5}{8} \).,\( \frac{5}{8} \) is greater than \( \frac{3}{4} \).,Does not understand equivalent fractions,120
Calculate the mean from a grouped frequency table,Statistics,"Given the following frequency table, calculate the mean number of hours spent on homework per week.

| Hours of Homework (H) | Frequency (f) |
|-----------------------|---------------|
|          1 - 5        |       4       |
|          6 - 10       |       9       |
|          11 - 15      |       3       |

Use the midpoint of each class interval to represent the data.",\( \frac{(3 \times 4) + (8 \times 9) + (13 \times 3)}{4 + 9 + 3} = \frac{12 + 72 + 39}{16} = \frac{123}{16} = 7.6875 \),\( (3 + 8 + 13) \times (4 + 9 + 3) = 24 \times 16 = 384 \),Believes midpoint in grouped frequency table is found by multiplying midpoint by frequency,121
Converting Percentages to Fractions,Fractions and Percentages,Convert \( 25\% \) to a fraction.,\( \frac{1}{4} \),\( \frac{25}{25} \),Thinks they can convert percentages to fractions by writing the percentage value as both the numerator and the denominator,122
Round integers to the nearest 10,Mathematics,What is \ 349 \ rounded to the nearest \ 10 \ ?,350,340,Rounds incorrectly when the nearest 10 is a multiple of 100,123
Understanding the characteristics of geometric figures,Geometry,Which term describes the relationship between two lines that intersect at a \(90^{\circ}\) angle and also bisect each other?,Perpendicular Bisectors,Parallel Lines,Believes perpendicular bisectors is the term used to describe two lines that are parallel,124
